name,nada,stk,make,model,year,odometer,age,cost
ummer H3,"$6,225 ",C004255,Car,antra GS,2013,"107,902",34,"$7,700 "
Murano S,"$12,975 ",C283136,SUV,ummer H3,2006,"99,513",7,"$9,500 "
a 2.0 SR,"$9,875 ",C013891,SUV,Murano S,2010,"98,790",57,"$11,168 "
rk Truck,"$8,175 ",C708846,Car,a 2.0 SR,2012,"94,073",17,"$7,924 "
ta Camry,"$10,200 ",C204740,Tru,rk Truck,2010,"88,352",22,"$11,203 "
 Juke SV,"$10,725 ",C207288,Car,ta Camry,2012,"75,289",17,"$9,935 "
ma 3.5 S,"$12,250 ",C221315,SUV, Juke SV,2013,"70,735",5,"$12,492 "
a 2.5 SV,"$13,325 ",C867202,Car,ma 3.5 S,2012,"69,355",29,"$15,023 "
avan SXT,"$10,700 ",C279735,Car,a 2.5 SV,2013,"59,197",10,"$13,660 "
u LT 2LT,"$12,675 ",CP771830,Van,avan SXT,2013,"59,151",81,"$15,120 "
rd F-150,"$13,625 ",CP209235,Car,u LT 2LT,2014,"48,027",215,"$16,635 "
rento EX,"$21,550 ",CPB55305,Tru,rd F-150,2014,"46,278",109,"$25,540 "
entra SR,"$16,575 ",C420605,SUV,rento EX,2013,"46,180",14,"$16,914 "
Camry SE,"$11,275 ",C279006,Car,entra SR,2014,"46,045",6,"$13,495 "
Murano S,"$14,200 ",C669457,Car,Camry SE,2013,"45,119",25,"$15,391 "
LX-P 2.4,"$18,425 ",CP511798,SUV,Murano S,2014,"44,667",134,"$18,526 "
 Touring,"$10,600 ",C101419,Car,LX-P 2.4,2009,"43,744",31,"$11,607 "
 Camry L,"$19,425 ",CP545217,Van, Touring,2015,"43,155",62,"$19,844 "
rd F-150,"$13,675 ",CP393261,Car, Camry L,2014,"41,725",29,"$16,306 "
Ram 1500,"$17,625 ",CPE07185,Tru,rd F-150,2013,"39,955",28,"$18,297 "
ed Sport,"$27,525 ",CP372958,Tru,Ram 1500,2014,"39,683",96,"$28,874 "
Rogue SV,"$28,375 ",C232176,SUV,ed Sport,2014,"35,997",89,"$30,455 "
orer XLT,"$16,025 ",CP615812,SUV,Rogue SV,2013,"34,910",25,"$16,470 "
a 2.5 SL,"$26,800 ",CPB40201,SUV,orer XLT,2014,"34,904",47,"$25,349 "
nata GLS,"$17,025 ",CP192724,Car,a 2.5 SL,2013,"34,440",74,"$16,776 "
entra SV,"$13,300 ",C944658,Car,nata GLS,2014,"33,368",10,"$13,665 "
entra SV,"$11,650 ",C614119,Car,entra SV,2014,"33,219",11,"$12,600 "
ntra GLS,"$10,400 ",C717898,Car,entra SV,2013,"33,098",38,"$13,078 "
ma 2.5 S,"$10,050 ",C751428,Car,ntra GLS,2013,"32,637",19,"$5,000 "
er Sport,"$14,050 ",C364708,Car,ma 2.5 S,2014,"32,286",61,"$15,669 "
ss Sport,"$22,150 ",C246865,SUV,er Sport,2012,"31,574",29,"$22,051 "
Ram 1500,"$16,200 ",CP135208,SUV,ss Sport,2015,"30,211",28,"$16,838 "
rd F-150,"$18,850 ",CP102188,Tru,Ram 1500,2014,"28,693",83,"$20,419 "
o SS 2SS,"$36,575 ",CPE51722,Tru,rd F-150,2013,"28,625",47,"$36,688 "
stang V6,"$20,550 ",C142721,Car,o SS 2SS,2010,"28,071",12,"$22,052 "
Focus SE,"$20,150 ",CP323143,Car,stang V6,2015,"27,836",110,"$22,961 "
a 2.5 SV,"$11,400 ",C359717,Car,Focus SE,2014,"26,658",45,"$12,095 "
ma 2.5 S,"$16,100 ",C290189,Car,a 2.5 SV,2014,"25,667",28,"$16,791 "
inder SV,"$13,250 ",CP172957,Car,ma 2.5 S,2013,"25,335",75,"$15,468 "
itan PRO,"$21,550 ",CP650663,SUV,inder SV,2013,"25,320",5,"$23,364 "
 Rogue S,"$30,400 ",CP516320,Tru,itan PRO,2014,"24,512",47,"$30,191 "
1500 LTZ,"$14,975 ",CP606601,SUV, Rogue S,2012,"23,901",46,"$15,759 "
entra SV,"$33,850 ",CP174028,Tru,1500 LTZ,2013,"23,798",15,"$30,072 "
a 2.5 SV,"$11,300 ",CP625772,Car,entra SV,2013,"23,711",25,"$13,734 "
 Limited,"$14,275 ",CP464058,Car,a 2.5 SV,2013,"21,868",46,"$15,075 "
ma 2.5 S,"$33,850 ",C015667,SUV, Limited,2014,"20,584",71,"$34,159 "
Rogue SV,"$15,800 ",C321816,Car,ma 2.5 S,2015,"20,482",59,"$15,406 "
r S Base,"$22,550 ",CP506887,SUV,Rogue SV,2015,"19,985",62,"$22,570 "
Sentra S,"$16,475 ",CPY28795,Car,r S Base,2012,"19,496",47,"$17,317 "
rger R/T,"$12,350 ",C259802,Car,Sentra S,2014,"19,229",32,"$13,237 "
 F-250SD,"$27,950 ",C729508,Car,rger R/T,2015,"18,972",46,"$28,525 "
ravan SE,"$34,500 ",CPB45026,Tru, F-250SD,2015,"18,783",102,"$34,616 "
ntier SV,"$14,700 ",C640726,Van,ravan SE,2013,"17,336",3,"$13,000 "
Ram 1500,"$24,475 ",CP721324,Tru,ntier SV,2014,"16,516",41,"$24,958 "
ma 2.5 S,"$33,450 ",CP540426,Tru,Ram 1500,2015,"16,416",19,"$35,127 "
t 3.5 SV,"$16,025 ",C154994,Car,ma 2.5 S,2015,"16,001",69,"$16,456 "
Murano S,"$23,025 ",CP125637,Van,t 3.5 SV,2015,"15,391",5,"$23,375 "
