name,nada,stk,make,model,year,odometer,age,cost
2015 Nissan Armada Platinum,"$42,800 ",C618188,Nissan,Armada Platinum ,2015,"1,601",22,"$43,298 "
2013 Ford F-150,"$35,900 ",CPE51722,Ford,F-150  ,2013,"28,625",51,"$36,688 "
2015 Ford F-250SD,"$34,825 ",CPB45026,Ford,F-250SD  ,2015,"18,783",106,"$34,616 "
2013 Chevrolet Silverado 1500 LTZ,"$33,850 ",CP174028,Chevrolet,Silverado 1500 LTZ,2013,"23,798",19,"$30,117 "
2015 Dodge Ram 1500,"$33,075 ",CP540426,Dodge,Ram 1500 ,2015,"16,416",23,"$35,127 "
2014 Dodge Ram 1500 Sport,"$32,975 ",C332806,Dodge,Ram 1500 Sport,2014,"9,099",43,"$33,624 "
2014 Nissan Titan PRO,"$30,300 ",CP516320,Nissan,Titan PRO ,2014,"24,512",51,"$30,191 "
2014 Jeep Wrangler Unlimited Sport,"$28,900 ",C232176,Jeep,Wrangler Unlimited Sport,2014,"35,997",93,"$30,455 "
2015 Dodge Charger R/T,"$28,150 ",C729508,Dodge,Charger R/T ,2015,"18,972",50,"$28,525 "
2014 Ford Explorer XLT,"$27,150 ",CPB40201,Ford,Explorer XLT ,2014,"34,904",51,"$25,349 "
2014 Dodge Ram 1500,"$27,025 ",CP372958,Dodge,Ram 1500 ,2014,"39,683",100,"$28,874 "
2014 Nissan Maxima 3.5 SV,"$26,375 ",C467246,Nissan,Maxima 3.5 SV,2014,"2,976",67,"$28,941 "
2015 Jeep Cherokee Limited,"$25,100 ",C517779,Jeep,Cherokee Limited ,2015,"11,701",114,"$23,656 "
2014 Nissan Maxima 3.5 S,"$24,775 ",C489270,Nissan,Maxima 3.5 S,2014,"22,955",3,"$21,881 "
2015 Nissan Frontier SV,"$24,300 ",CP766151,Nissan,Frontier SV ,2015,"3,286",59,"$27,261 "
2014 Nissan Frontier SV,"$24,125 ",CP721324,Nissan,Frontier SV ,2014,"16,516",45,"$24,958 "
2015 Nissan Quest 3.5 SV,"$23,375 ",CP125637,Nissan,Quest 3.5 SV,2015,"15,391",9,"$23,420 "
2012 Jeep Wrangler Sport,"$21,900 ",C246865,Jeep,Wrangler Sport ,2012,"31,574",33,"$22,051 "
2013 Nissan Pathfinder SV,"$21,800 ",CP650663,Nissan,Pathfinder SV ,2013,"25,320",9,"$23,409 "
2014 Ford F-150,"$21,525 ",CPB55305,Ford,F-150  ,2014,"46,278",113,"$25,540 "
2010 Chevrolet Camaro SS 2SS,"$20,500 ",C142721,Chevrolet,Camaro SS 2SS,2010,"28,071",16,"$22,097 "
2015 Ford Mustang V6,"$20,350 ",CP323143,Ford,Mustang V6 ,2015,"27,836",114,"$22,961 "
2012 Dodge Ram 2500,"$19,850 ",C228689,Dodge,Ram 2500 ,2012,"75,430",3,"$17,971 "
2014 Dodge Ram 1500,"$19,850 ",CP102188,Dodge,Ram 1500 ,2014,"28,693",87,"$20,419 "
2015 Chrysler Town & Country Touring,"$19,725 ",CP545217,Chrysler,Town & Country,2015,"43,155",66,"$19,844 "
2014 Nissan Murano S,"$19,350 ",C401611,Nissan,Murano S ,2014,"13,362",16,"$20,157 "
2015 Nissan Altima 2.5 SV,"$19,325 ",C284733,Nissan,Altima 2.5 SV,2015,"9,531",46,"$20,865 "
2015 Nissan Altima 2.5 S,"$17,950 ",CP356515,Nissan,Altima 2.5 S,2015,"2,444",59,"$22,510 "
2015 Nissan Altima 2.5 S,"$17,950 ",CP481606,Nissan,Altima 2.5 S,2015,34,59,"$21,578 "
2015 Nissan Altima 2.5 S,"$17,950 ",CP482611,Nissan,Altima 2.5 S,2015,12,59,"$21,194 "
2013 Ford F-150,"$17,925 ",CPE07185,Ford,F-150  ,2013,"39,955",32,"$18,297 "
2013 Nissan Murano S,"$17,700 ",C207121,Nissan,Murano S ,2013,"14,753",30,"$18,877 "
2015 Nissan Altima 2.5 S,"$17,550 ",CP372059,Nissan,Altima 2.5 S,2015,"3,296",86,"$21,396 "
2014 Nissan Altima 2.5 SL,"$17,300 ",C108725,Nissan,Altima 2.5 SL,2014,"20,763",3,"$16,928 "
2013 Kia Sorento EX,"$16,575 ",C420605,Kia,Sorento EX ,2013,"46,180",18,"$16,962 "
2015 Nissan Altima 2.5 S,"$16,350 ",C154994,Nissan,Altima 2.5 S,2015,"16,001",73,"$16,456 "
2014 Nissan Altima 2.5 SV,"$16,175 ",C290189,Nissan,Altima 2.5 SV,2014,"25,667",32,"$16,791 "
2012 Mini Cooper S Base,"$16,175 ",CPY28795,Mini,Cooper S Base,2012,"19,496",51,"$17,392 "
2015 Nissan Altima 2.5 S,"$16,050 ",C321816,Nissan,Altima 2.5 S,2015,"20,482",63,"$15,406 "
2013 Nissan Rogue SV,"$15,950 ",CP615812,Nissan,Rogue SV ,2013,"34,910",29,"$16,470 "
2015 Jeep Compass Sport,"$15,900 ",CP135208,Jeep,Compass Sport ,2015,"30,211",32,"$16,838 "
2012 Nissan Rogue S,"$14,725 ",CP606601,Nissan,Rogue S ,2012,"23,901",50,"$15,759 "
2013 Dodge Grand Caravan SE,"$14,675 ",C640726,Dodge,Grand Caravan SE,2013,"17,336",7,"$14,588 "
2013 Toyota Camry SE,"$14,575 ",C669457,Toyota,Camry SE ,2013,"45,119",29,"$15,391 "
