name,nada,stk,make,model,year,odometer,age,cost
2013 Hyundai Elantra GS,6225,C004255,Hyundai,Elantra,2013,107902,34,7700
1997 Dodge Ram 1500,3600,C606816,Dodge,Ram,1997,100474,12,2500
2006 Hummer H3,12975,C283136,Hummer,H3,2006,99513,7,9500
2010 Nissan Murano S,9875,C013891,Nissan,Murano,2010,98790,57,11168
2012 Nissan Sentra 2.0 SR,8175,C708846,Nissan,Sentra,2012,94073,17,7924
2010 Chevrolet Silverado 1500 Work Truck,10200,C204740,Chevrolet,Silverado,2010,88352,22,11203
2012 Toyota Camry,10725,C207288,Toyota,Camry,2012,75289,17,9935
2013 Nissan Juke SV,12250,C221315,Nissan,Juke,2013,70735,5,12492
2012 Nissan Maxima 3.5 S,13325,C867202,Nissan,Maxima,2012,69355,29,15023
2013 Nissan Altima 2.5 SV,10700,C279735,Nissan,Altima,2013,59197,10,13660
2013 Dodge Grand Caravan SXT,12675,CP771830,Dodge,Grand,2013,59151,81,15120
2014 Chevrolet Malibu LT 2LT,13625,CP209235,Chevrolet,Malibu,2014,48027,215,16635
2014 Ford F-150,21550,CPB55305,Ford,F-150,2014,46278,109,25540
2013 Kia Sorento EX,16575,C420605,Kia,Sorento,2013,46180,14,16914
2014 Nissan Sentra SR,11275,C279006,Nissan,Sentra,2014,46045,6,13495
2013 Toyota Camry SE,14200,C669457,Toyota,Camry,2013,45119,25,15391
2014 Nissan Murano S,18425,CP511798,Nissan,Murano,2014,44667,134,18526
2009 Honda Accord LX-P 2.4,10600,C101419,Honda,Accord,2009,43744,31,11607
2015 Chrysler Town & Country Touring,19425,CP545217,Chrysler,Town,2015,43155,62,19844
2014 Toyota Camry L,13675,CP393261,Toyota,Camry,2014,41725,29,16306
2013 Ford F-150,17625,CPE07185,Ford,F-150,2013,39955,28,18297
2014 Dodge Ram 1500,27525,CP372958,Dodge,Ram,2014,39683,96,28874
2014 Jeep Wrangler Unlimited Sport,28375,C232176,Jeep,Wrangler,2014,35997,89,30455
2013 Nissan Rogue SV,16025,CP615812,Nissan,Rogue,2013,34910,25,16470
2014 Ford Explorer XLT,26800,CPB40201,Ford,Explorer,2014,34904,47,25349
2013 Nissan Altima 2.5 SL,17025,CP192724,Nissan,Altima,2013,34440,74,16776
2014 Hyundai Sonata GLS,13300,C944658,Hyundai,Sonata,2014,33368,10,13665
2014 Nissan Sentra SV,11650,C614119,Nissan,Sentra,2014,33219,11,12600
2013 Nissan Sentra SV,10400,C717898,Nissan,Sentra,2013,33098,38,13078
2013 Hyundai Elantra GLS,10050,C751428,Hyundai,Elantra,2013,32637,19,5000
2014 Nissan Altima 2.5 S,14050,C364708,Nissan,Altima,2014,32286,61,15669
2012 Jeep Wrangler Sport,22150,C246865,Jeep,Wrangler,2012,31574,29,22051
2015 Jeep Compass Sport,16200,CP135208,Jeep,Compass,2015,30211,28,16838
2014 Dodge Ram 1500,18850,CP102188,Dodge,Ram,2014,28693,83,20419
2013 Ford F-150,36575,CPE51722,Ford,F-150,2013,28625,47,36688
2010 Chevrolet Camaro SS 2SS,20550,C142721,Chevrolet,Camaro,2010,28071,12,22052
2015 Ford Mustang V6,20150,CP323143,Ford,Mustang,2015,27836,110,22961
2014 Ford Focus SE,11400,C359717,Ford,Focus,2014,26658,45,12095
2014 Nissan Altima 2.5 SV,16100,C290189,Nissan,Altima,2014,25667,28,16791
2013 Nissan Altima 2.5 S,13250,CP172957,Nissan,Altima,2013,25335,75,15468
2013 Nissan Pathfinder SV,21550,CP650663,Nissan,Pathfinder,2013,25320,5,23364
2014 Nissan Titan PRO,30400,CP516320,Nissan,Titan,2014,24512,47,30191
2012 Nissan Rogue S,14975,CP606601,Nissan,Rogue,2012,23901,46,15759
2013 Chevrolet Silverado 1500 LTZ,33850,CP174028,Chevrolet,Silverado,2013,23798,15,30072
2013 Nissan Sentra SV,11300,CP625772,Nissan,Sentra,2013,23711,25,13734
2013 Nissan Altima 2.5 SV,14275,CP464058,Nissan,Altima,2013,21868,46,15075
2014 Toyota Highlander Limited,33850,C015667,Toyota,Highlander,2014,20584,71,34159
2015 Nissan Altima 2.5 S,15800,C321816,Nissan,Altima,2015,20482,59,15406
2015 Nissan Rogue SV,22550,CP506887,Nissan,Rogue,2015,19985,62,22570
